db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
2	MA0656.1	JDP2(var.2)	1.20E-06	2.20E-09	-1.99E+01	0	205	489	225	380	4.19E-01	9.10E-12	2.44E+02	17	3.10E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0657.1	KLF13	3.20E-11	6.10E-14	-3.04E+01	0	215	483	287	451	0.44513	2.50E-16	2.41E+02	6.00E+00	18	1.00E+00	0.00E+00		9.20E-01	-0.09
2	MA0663.1	MLX	2.90E-04	5.60E-07	-1.44E+01	0	171	491	373	834	3.48E-01	2.30E-09	2.45E+02	16	4.60E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0664.1	MLXIPL	9.00E-04	1.70E-06	-1.33E+01	0	261	491	1337	2261	0.53157	7.00E-09	2.45E+02	72	126	1.00E+00	0.00E+00		1.00E+00	0
2	MA0671.1	NFIX	1.60E-05	3.10E-08	-1.73E+01	0	264	492	3035	5232	5.37E-01	1.30E-10	2.45E+02	150	3.00E+02	1.00E+00	0.00E+00		7.40E-01	-0.3
2	MA0684.1	RUNX3	5.70E-12	1.10E-14	-3.21E+01	0	167	491	1585	3922	3.40E-01	4.50E-17	2.45E+02	104	2.31E+02	8.00E-02	-2.53E+00		1.00E+00	0
2	MA0685.1	SP4	4.50E-28	8.60E-31	-6.92E+01	0	184	484	622	1116	0.38017	3.60E-33	2.41E+02	2.30E+01	52	1.00E+00	0.00E+00		1.00E+00	0
2	MA0686.1	SPDEF	3.90E-16	7.40E-19	-4.17E+01	0	190	490	884	1774	3.88E-01	3.00E-21	2.44E+02	51	1.08E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0691.1	TFAP4	5.50E-05	1.10E-07	-1.61E+01	0	191	491	810	1756	3.89E-01	4.30E-10	2.45E+02	39	1.02E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0692.1	TFEB	1.90E-09	3.60E-12	-2.64E+01	0	215	491	1639	3248	4.38E-01	1.50E-14	2.45E+02	90	1.78E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0695.1	ZBTB7C	1.10E-03	2.10E-06	-1.31E+01	0	219	489	2209	4510	4.48E-01	8.60E-09	2.44E+02	119	2.65E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0696.1	ZIC1	1.40E+00	2.70E-03	-5.93E+00	0	219	487	461	884	0.44969	1.10E-05	2.43E+02	2.90E+01	59	1.00E+00	0.00E+00		1.00E+00	0
2	MA0697.1	ZIC3	8.10E-03	1.60E-05	-1.11E+01	0	232	486	786	1436	4.77E-01	6.40E-08	2.42E+02	41	8.50E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0698.1	ZBTB18	6.20E+00	1.20E-02	-4.43E+00	0	138	488	660	2048	2.83E-01	4.90E-05	2.43E+02	24	1.09E+02	1.00E+00	0.00E+00		9.70E-01	-0.03
2	MA0705.1	Lhx8	4.60E-02	8.90E-05	-9.33E+00	0	53	493	425	3119	1.08E-01	3.60E-07	2.46E+02	22	1.59E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0732.1	EGR3	7.30E-01	1.40E-03	-6.58E+00	0	258	486	615	1026	5.31E-01	5.70E-06	2.42E+02	36	6.40E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0733.1	EGR4	2.00E-02	3.80E-05	-1.02E+01	0	319	485	2201	3141	6.58E-01	1.60E-07	2.42E+02	120	1.89E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0734.1	GLI2	1.40E-06	2.60E-09	-1.98E+01	0	273	489	1683	2705	0.55828	1.10E-11	2.44E+02	99	154	9.90E-01	-1.00E-02		1.00E+00	0
2	MA0738.1	HIC2	5.50E+00	1.00E-02	-4.56E+00	0	166	492	1860	5115	3.37E-01	4.30E-05	2.45E+02	97	2.95E+02	1.00E+00	0.00E+00		1.00E+00	0
